u,v,cosine,jaccard,euclidean_similarity,combined_weight
U03,U17,0.82473005599485,0.4,0.7728140297353877,0.7029727341182989
U01,U17,0.786790050923376,0.5555555555555556,0.5712949499997988,0.6643328968043477
U06,U13,0.8102523518733201,0.4166666666666667,0.5263115244185957,0.6266736823352395
U05,U19,0.6506386139331549,0.5,0.6221469320625418,0.6044314558886823
U01,U14,0.7314672610638485,0.45454545454545453,0.48483814206494036,0.5882480737345775
U08,U13,0.706202935370389,0.38461538461538464,0.5740074193239697,0.5861473928677121
U17,U20,0.6639982053561981,0.4166666666666667,0.6047079650115601,0.5843782485804239
U05,U12,0.6427267441841507,0.4166666666666667,0.6272195954098243,0.5815595801724818
U13,U20,0.7668113102173583,0.38461538461538464,0.45453157367018965,0.5775784078527143
U03,U18,0.7460645297596245,0.36363636363636365,0.48325973262042393,0.5716160490870491
U07,U12,0.7166603339737239,0.4166666666666667,0.44933398244644546,0.5614640116887761
U01,U03,0.6457139096892576,0.2727272727272727,0.6646937068803959,0.5581611896061028
U14,U17,0.6224609114602112,0.3333333333333333,0.6272195954098243,0.5516066221133756
U04,U20,0.5661743860215854,0.26666666666666666,0.764888771826562,0.5509117719243487
U02,U16,0.6293250352560272,0.5,0.46879788020304897,0.5488356299261269
U10,U15,0.6895971662463319,0.45454545454545453,0.4134671708930895,0.5479952397151399
U03,U10,0.653663546257989,0.23076923076923078,0.6400749124636285,0.5438633772474912
U08,U11,0.5571872997023686,0.46153846153846156,0.5536334593243527,0.5322089380479871
U07,U13,0.6693853322045421,0.23076923076923078,0.5740074193239697,0.5311179329815425
U07,U14,0.6092246273834282,0.3076923076923077,0.5853287232386971,0.5266727762172287
U04,U13,0.6602126579900114,0.3076923076923077,0.5063301283677254,0.5259178115288996
U04,U07,0.6052753127515811,0.4166666666666667,0.48737233358148657,0.5227522574793242
U06,U20,0.6398356786090285,0.35714285714285715,0.4829025667212691,0.5220825396761578
U15,U17,0.6005574191758144,0.4,0.5058012448826494,0.5219912120939113
U05,U07,0.5733794404633316,0.45454545454545453,0.5001891074400618,0.5217138440768814
U03,U09,0.6123034024301341,0.25,0.5978407120788986,0.51738874471723
U05,U16,0.6042816536322182,0.3333333333333333,0.5395312849628422,0.5171194629566842
U09,U17,0.5836999373688753,0.36363636363636365,0.5300888172097801,0.5126007078880188
U15,U20,0.6008604112370927,0.4166666666666667,0.4564335550840233,0.5114839182485653
U11,U19,0.6176250656422075,0.35714285714285715,0.4692139659949565,0.5079811836231947
U02,U03,0.6432846990517257,0.2727272727272727,0.4964603293173605,0.5065980315503029
U02,U20,0.5799954784388918,0.21428571428571427,0.6388869971638756,0.5062354930180926
